"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"2034","BMW","550iA","4PTS 4.4L 8CIL 407HP AUT STRONIC",2011,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.49,13.33,9.72,7.29,320,22,3,"?"
"2035","MERCEDES","S500","L CGI 4PTS 4.7L 8CIL 429HP AUT TURBO",2012,"AUT","Gasolina",8,429,4.7,"AUTOS DE LUJO",6.49,13.51,9.75,7.32,319,35,3,"?"
"2036","BMW","550iA","SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.49,13.33,9.72,7.29,320,22,3,"?"
"2037","BMW","550i","SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO",2013,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.49,13.33,9.72,7.29,320,22,3,"?"
"2038","MERCEDES","S500","L CGI 4PTS 4.7L 8CIL 429HP AUT TURBO",2013,"AUT","Gasolina",8,429,4.7,"AUTOS DE LUJO",6.49,13.51,9.75,7.32,319,35,3,"?"
"2039","CADILLAC","CTS","RWD COUPÉ 2PTS 6.2L 8CIL 556HP AUT",2011,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,15,0,"8"
"2040","CADILLAC","CTS","RWD SEDAN 4PTS 6.2L 8CIL 556HP AUT",2011,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,15,0,"8"
"2041","CADILLAC","CTS","2/4PTS 6.2L 8CIL 556HP AUT",2012,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,15,0,"8"
"2042","CADILLAC","CTS","V COUPE 2PTS 6.2L 8CIL 556HP TURBO",2013,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,15,0,"8"
"2043","CADILLAC","CTS","V SEDAN 4PTS 6.2L 8CIL 556HP TURBO",2013,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,15,0,"8"
"2044","CADILLAC","CTS","V COUPE 2PTS 6.2L 8CIL 556HP SUPERCARGADO",2014,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,16,0,"8"
"2045","CADILLAC","CTS","V SEDAN 4PTS 6.2L 8CIL 556HP SUPERCARGADO",2014,"AUT","Gasolina",8,556,6.2,"AUTOS DE LUJO",6.47,10.65,7.86,5.89,396,16,0,"8"
"2046","BMW","650iA","CONVERTIBLE 2PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.45,12.65,9.55,7.16,326,2,2,"9"
"2047","BMW","650iA","COUPÉ 2PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.45,12.98,9.61,7.21,323,1,2,"9"
"2048","BMW","650iA","CONVERTIBLE 2PTS 4.4L 8CIL 449HP AUT BITURBO",2013,"AUT","Gasolina",8,449,4.4,"AUTOS DE LUJO",6.45,12.65,9.55,7.16,326,10,2,"9"
"2049","BMW","650iA","GRAN COUPE 2PTS 4.4L 8CIL 449HP AUT BITURBO",2013,"AUT","Gasolina",8,449,4.4,"AUTOS DE LUJO",6.45,12.98,9.61,7.21,323,25,2,"?"
"2050","BMW","650iA","COUPE 2PTS 4.4L 8CIL 449HP AUT BITURBO",2013,"AUT","Gasolina",8,449,4.4,"AUTOS DE LUJO",6.45,12.98,9.61,7.21,323,8,2,"9"
"2051","MERCEDES","S500","L CGI 4PTS 4.7L 8CIL 450HP AUT TURBO",2014,"AUT","Gasolina",8,450,4.7,"AUTOS DE LUJO",6.4,13.5,9.66,7.25,322,54,3,"?"
"2052","PORSCHE","PANAMERA","GTS 5PTS 4.8L 8CIL 440HP PDK TRACCIÓN INTEGRAL",2014,"PDK","Gasolina",8,440,4.8,"AUTOS DE LUJO",6.37,12.82,8.23,6.18,378,19,0,"7"
"2053","MERCEDES","GLE 63","COUPE AMG 4MATIC 5PTAS 5.5L 8CIL 557HP AUT TURBO",2016,"AUT","Gasolina",8,557,5.5,"AUTOS DE LUJO",6.33,10.31,8.9,6.68,349,58,1,"?"
"2054","MERCEDES","GLE 63","AMG 4PTAS 5.5L 8CIL 557HP TURBO AUT",2018,"AUT","Gasolina",8,557,5.5,"AUTOS DE LUJO",6.33,10.31,8.9,6.68,349,58,1,"?"
"2055","AUDI","A6","4PTS 4.2L 8CIL 350HP TIPTRONIC FSI QUATTRO",2011,"TIP","Gasolina",6,350,4.2,"AUTOS DE LUJO",6.33,12.05,9.31,6.98,334,34,2,"?"
"2056","AUDI","A6","SECURITY 4PTS 4.2L 8CIL 350HP TIPTRONIC QUATTRO",2011,"TIP","Gasolina",8,350,4.2,"AUTOS DE LUJO",6.33,12.05,9.31,6.98,334,40,2,"?"
"2057","MERCEDES","CL500","CGI 2PTS 4.7L 8CIL 429HP AUT TURBO",2012,"AUT","Gasolina",8,429,4.7,"AUTOS DE LUJO",6.32,13.16,9.52,7.14,326,35,2,"?"
"2058","MERCEDES","CL500","CGI 2PTS 4.7L 8CIL 429HP AUT TURBO",2013,"AUT","Gasolina",8,429,4.7,"AUTOS DE LUJO",6.32,13.16,9.52,7.14,326,35,2,"?"
"2059","JAGUAR","XF","4PTS 3.0L 6CIL 335HP AUT TURBO",2016,"AUT","Gasolina",6,335,3,"AUTOS DE LUJO",6.3,11.7,9.21,6.91,338,4,2,"9"
"2060","BMW","M3","COUPE 2PTS 4.0L 8CIL 420HP DKG",2011,"DKG","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,20,2,"?"
"2061","BMW","M3","SEDAN 4PTS 4.0 8CIL 420HP DKG",2011,"DKG","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,20,2,"?"
"2062","BMW","M3","COUPÉ 2PTS 4.0L 8CIL 420HP AUT",2012,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,20,2,"?"
"2063","BMW","M3","SEDAN 4PTS 4.0L 8CIL 420HP AUT",2012,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,20,2,"?"
"2064","BMW","M3","COUPE 2PTS 4.0L 8CIL 420HP AUT",2013,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,39,2,"?"
"2065","BMW","M3","SEDAN 4PTS 4.0L 8CIL 420HP AUT",2013,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.29,11.76,9.21,6.91,337,39,2,"?"
"2066","JAGUAR","F-TYPE","S CONVERTIBLE 2PTS 5.0L 8CIL 495HP AUT",2014,"AUT","Gasolina",8,495,5,"AUTOS DE LUJO",6.29,12.05,9.28,6.96,335,78,2,"?"
"2067","MERCEDES","E500","CONVERTIBLE 2PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",6.28,12.19,9.3,6.97,334,26,2,"?"
"2068","PORSCHE","PANAMERA","S 5PTS 4.8L 8CIL 400HP PDK",2011,"PDK","Gasolina",8,400,4.8,"AUTOS DE LUJO",6.25,12.66,9.36,7.02,332,34,2,"?"
"2069","BMW","M3","CONV 2PTS 4.0L 8CIL 420HP DKG",2011,"DKG","Gasolina",8,420,4,"AUTOS DE LUJO",6.25,11.24,9.06,6.8,343,20,1,"?"
"2070","PORSCHE","PANAMERA","S 5PTS 4.8L 8CIL 400HP PDK",2012,"PDK","Gasolina",8,400,4.8,"AUTOS DE LUJO",6.25,12.66,9.36,7.02,332,34,2,"?"
"2071","BMW","M3","CONVERTIBLE 2PTS 4.0L 8CIL 420HP AUT",2012,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.25,11.24,9.06,6.8,343,20,1,"?"
"2072","BMW","M3","CONVERTIBLE 2PTS 4.0L 8CIL 420HP AUT",2013,"AUT","Gasolina",8,420,4,"AUTOS DE LUJO",6.25,11.24,9.06,6.8,343,39,1,"?"
"2073","MERCEDES","E500","COUPÉ 2PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",6.21,12.82,9.35,7.01,332,18,2,"?"
"2074","DODGE","CHARGER","SRT-8 4PTS 6.4L 8CIL 470HP AUT",2014,"AUT","Gasolina",8,470,6.4,"AUTOS DE LUJO",6.18,11.53,7.81,5.86,398,25,0,"6"
"2075","BMW","550i","GRAN TURISMO 4PTS 4.4L 8CIL 407HP MAN",2011,"MAN","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.17,12.05,9.17,6.87,339,30,2,"?"
"2076","BMW","550iA","GRAN TURISMO 4PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.17,12.04,9.16,6.87,339,30,2,"?"
"2077","BMW","550iA","GRAN TURISMO 4PTS 4.4L 8CIL 407HP AUT BITURBO",2013,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.17,12.05,9.17,6.87,339,30,2,"?"
"2078","SAAB","9-5","AWD 4PTS 2.8L 6CIL 300HP AUT TURBO",2012,"AUT","Gasolina",6,300,2.8,"AUTOS DE LUJO",6.17,13.69,9.47,7.1,328,50,2,"?"
"2079","SAAB","9-5","AWD 4PTS 2.8L 6CIL 300HP MAN TURBO",2012,"MAN","Gasolina",6,300,2.8,"AUTOS DE LUJO",6.17,13.69,9.47,7.1,328,50,2,"?"
"2080","BMW","650i","COUPE 2PTS 4.8L 8CIL 367HP AUT STRONIC",2011,"AUT","Gasolina",8,367,4.8,"AUTOS DE LUJO",6.13,12.35,9.18,6.89,339,22,2,"?"
"2081","BMW","750iA","SEDAN 4PTS 4.4L 8CIL 449HP AUT BITURBO",2013,"AUT","Gasolina",8,449,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,17,1,"?"
"2082","BMW","750LiA","SEDAN 4PTS 4.4L 8CIL 449HP AUT BITURBO",2013,"AUT","Gasolina",8,449,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,17,1,"?"
"2083","AUDI","R8","COUPE 2PTS 5.2L 10CIL 550HP MAN QUATTRO",2015,"MAN","Gasolina",10,550,5.2,"AUTOS DE LUJO",6.1,10.3,7.47,5.6,416,22,0,"7"
"2084","AUDI","R8","2PTS 4.2L 8CIL 430HP MAN QUATTRO",2016,"MAN","Gasolina",8,430,4.2,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,38,0,"6"
"2085","AUDI","R8","2PTS 5.2L 10CIL 550HP MAN QUATTRO",2016,"MAN","Gasolina",10,550,5.2,"AUTOS DE LUJO",6.1,10.4,7.49,5.62,415,22,0,"7"
"2086","BENTLEY","CONTINENTAL","GT 3PTAS 6.0L 12CIL 582/626HP ZF8 QUATTRO TURBO",2016,"ZF SPEED QUICKSHIFT","Gasolina",12,626,6,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,16,0,"8"
"2087","BENTLEY","CONTINENTAL","GT SPEED 3PTAS 6.0L 12CIL 582/626 HP ZF8 QUATTRO TURBO",2016,"ZF SPEED QUICKSHIFT","Gasolina",12,626,6,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,16,0,"8"
"2088","AUDI","R8","COUPE 2PTAS 4.2L 8CIL 430 HP MAN QUATTRO",2017,"MAN","Gasolina",8,430,4.2,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,38,0,"6"
"2089","AUDI","R8","COUPE 2PTAS 5.2L 10CIL 550HP MAN QUATTRO",2017,"MAN","Gasolina",10,550,5.2,"AUTOS DE LUJO",6.1,10.3,7.47,5.6,416,22,0,"7"
"2090","BENTLEY","CONTINENTAL","GT 3PTAS 6.0L 12CIL 582/626HP ZF8 QUATTRO TURBO",2017,"ZF SPEED QUICKSHIFT","Gasolina",12,626,6,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,16,0,"8"
"2091","BENTLEY","CONTINENTAL","GT SPEED 3PTAS 6.0L 12CIL 582/626HP ZF8 QUATTRO TURBO",2017,"ZF SPEED QUICKSHIFT","Gasolina",12,626,6,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,16,0,"8"
"2092","BENTLEY","FLYING SPUR","4PTAS 6.0L 12CIL 616HP ZF8 QUATTRO TURBO",2017,"ZF SPEED QUICKSHIFT","Gasolina",12,616,6,"AUTOS DE LUJO",6.1,11.3,7.69,5.77,404,16,0,"8"
"2093","PORSCHE","PANAMERA","4S 5PTS 4.8 400 HP PDK",2011,"PDK","Gasolina",8,400,4.8,"AUTOS DE LUJO",6.1,12.35,9.15,6.86,340,35,2,"?"
"2094","PORSCHE","PANAMERA","4S 5PTS 4.8L 8CIL 400HP PDK",2012,"PDK","Gasolina",8,400,4.8,"AUTOS DE LUJO",6.1,12.35,9.15,6.86,340,35,2,"?"
"2095","BMW","750i","4PTS 4.4L 8CIL 407HP AUT STRONIC",2011,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,16,1,"?"
"2096","BMW","750Li","4PTS 4.4L 8CIL 407HP AUT STRONIC",2011,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,16,1,"?"
"2097","BMW","750iA","SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,16,1,"?"
"2098","BMW","750LiA","SEDAN 4PTS 4.4L 8CIL 407HP AUT BITURBO",2012,"AUT","Gasolina",8,407,4.4,"AUTOS DE LUJO",6.1,11.76,9.04,6.78,344,16,1,"?"
"2099","MERCEDES","E500","4PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",6.09,12.98,9.26,6.95,336,20,2,"?"
"2100","PORSCHE","PANAMERA","5PTS 3.6L 6CIL 300HP PDK",2011,"PDK","Gasolina",6,300,3.6,"AUTOS DE LUJO",6.06,12.59,9.16,6.87,339,10,2,"9"
"2101","PORSCHE","PANAMERA","4 5PTS 3.6L 6CIL 300HP PDK",2011,"PDK","Gasolina",6,300,3.6,"AUTOS DE LUJO",6.06,12.59,9.16,6.87,339,10,2,"9"
"2102","PORSCHE","PANAMERA","4 4X4 5PTS 3.6L 6CIL 300HP PDK",2012,"PDK","Gasolina",6,300,3.6,"AUTOS DE LUJO",6.06,12.59,9.16,6.87,339,10,2,"9"
"2103","PORSCHE","PANAMERA","5PTS 3.6L 6CIL 300HP PDK",2012,"PDK","Gasolina",6,300,3.6,"AUTOS DE LUJO",6.06,12.59,9.16,6.87,339,10,2,"9"
"2104","BMW","M6","CONVERTIBLE 2PTS 4.4L 8CIL 560HP AUT BITURBO",2013,"AUT","Gasolina",8,560,4.4,"AUTOS DE LUJO",6.04,12.65,9.15,6.87,340,12,2,"9"
"2105","MERCEDES","S 600","4PTAS 6.0L 12CIL 530HP AUT BITURBO",2016,"AUT","Gasolina",12,530,6,"AUTOS DE LUJO",5.99,11.63,8.9,6.68,349,20,1,"?"
"2106","MERCEDES","S 600","4PTAS 6.0L 12CIL 530HP BITURBO AUT",2018,"AUT","Gasolina",12,530,6,"AUTOS DE LUJO",5.99,11.63,8.9,6.68,349,20,1,"?"
"2107","MERCEDES","S 600","4PTAS 6.0L 12CIL 530HP TURBO AUT",2018,"AUT","Gasolina",12,530,6,"AUTOS DE LUJO",5.99,11.63,8.9,6.68,349,20,1,"?"
"2108","MERCEDES","S 600","4PTAS 6.0L 12CIL 530HP TURBO AUT",2018,"AUT","Gasolina",12,530,6,"AUTOS DE LUJO",5.99,11.63,8.9,6.68,349,20,1,"?"
"2109","MERCEDES","S 600","MAYBACH 4PTAS 6.0L 12CIL 530HP AUT",2016,"AUT","Gasolina",12,530,6,"AUTOS DE LUJO",5.92,11.49,8.81,6.61,353,24,1,"?"
"2110","MERCEDES","CLS500","4PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",5.88,11.76,8.83,6.62,352,31,1,"?"
"2111","MERCEDES","SL500","ROADSTER 2PTS 5.5L 8CIL 382HP AUT",2012,"AUT","Gasolina",8,382,5.5,"AUTOS DE LUJO",5.88,12.2,8.91,6.68,349,30,1,"?"
"2112","MERCEDES","SL65","AMG 2PTS 6.0L 12CIL 621HP AUT TURBO",2013,"AUT","Gasolina",12,621,6,"AUTOS DE LUJO",5.88,11.9,8.86,6.64,351,41,1,"?"
"2113","MERCEDES","S 65","4PTAS 6.0L 12CIL 630HP AUT",2016,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.63,8.77,6.58,354,29,1,"?"
"2114","MERCEDES","S 65","CONVERTIBLE 2PTAS 6.0L 12CIL 630HP AUT",2016,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.24,8.69,6.52,358,35,1,"?"
"2115","MERCEDES","S 65","COUPE AMG 2PTAS 6.0L 12CIL 630HP AUT",2016,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.63,8.77,6.58,354,29,1,"?"
"2116","MERCEDES","S 65","AMG COUPE 2PTAS 6.0L 12CIL 630HP TURBO AUT",2018,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.63,8.77,6.58,354,29,1,"?"
"2117","MERCEDES","S 65","AMG SEDAN 4PTAS 6.0L 12CIL 630HP TURBO AUT",2018,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.63,8.77,6.58,354,29,1,"?"
"2118","MERCEDES","S 65","AMG CONVERTIBLE 2PTAS 6.0L 12CIL 630HP TURBO AUT",2018,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.85,11.24,8.69,6.52,358,35,1,"?"
"2119","BMW","M3","SEDAN 2PTS 4.0L 8CIL 420HP MAN",2012,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.84,10.75,8.58,6.43,362,20,1,"?"
"2120","BMW","650i","CONV 2PTS 4.8L 8CIL 367HP AUT STRONIC",2011,"AUT","Gasolina",8,367,4.8,"AUTOS DE LUJO",5.81,11.76,8.76,6.57,355,22,1,"?"
"2121","JAGUAR","XJ","PREMIUM LUXURY LWB 4PTS 5.0L 8CIL 380HP AUT",2011,"AUT","Gasolina",8,380,5,"AUTOS DE LUJO",5.8,12.19,7.59,5.69,410,51,0,"5"
"2122","JAGUAR","XF","4PTS 5.0L 8CIL 385HP AUT",2011,"AUT","Gasolina",8,385,5,"AUTOS DE LUJO",5.8,12.8,7.69,5.77,404,17,0,"8"
"2123","JAGUAR","XF","4PTS 5.0L 8CIL 385HP AUT",2012,"AUT","Gasolina",8,385,5,"AUTOS DE LUJO",5.8,12.83,8.94,6.71,348,17,1,"?"
"2124","JAGUAR","XJ","PREMIUM LUXURY LWB 4PTS 5.0L 8CIL 380HP AUT",2012,"AUT","Gasolina",8,380,5,"AUTOS DE LUJO",5.8,12.19,8.83,6.62,352,51,1,"?"
"2125","JAGUAR","XJ","PREMIUM LUXURY LWB 4PTS 5.0L 8CIL 380HP AUT",2013,"AUT","Gasolina",8,380,5,"AUTOS DE LUJO",5.8,12.19,8.83,6.62,352,51,1,"?"
"2126","JAGUAR","XF","4PTS 5.0L 8CIL 385HP AUT",2013,"AUT","Gasolina",8,385,5,"AUTOS DE LUJO",5.8,12.8,8.94,6.7,348,17,1,"?"
"2127","JAGUAR","XF","4PTS 2.0L 4CIL 237HP AUT TURBO",2016,"AUT","Gasolina",4,237,2,"AUTOS DE LUJO",5.8,10.5,8.49,6.36,366,5,0,"9"
"2128","BENTLEY","MULSANNE","4PTAS 6.8L 6CIL 505 HP TIP TURBO",2016,"AUT","Gasolina",6,505,6.8,"AUTOS DE LUJO",5.8,10.6,7.28,5.46,427,14,0,"8"
"2129","BENTLEY","MULSANNE","4PTAS 6.8L 6CIL 530HP TIP TURBO",2016,"AUT","Gasolina",6,530,6.8,"AUTOS DE LUJO",5.8,10.6,7.28,5.46,427,14,0,"8"
"2130","BENTLEY","MULSANNE","4PTAS 6.8L 6CIL 505HP TIP TURBO",2017,"AUT","Gasolina",6,505,6.8,"AUTOS DE LUJO",5.8,10.6,7.28,5.46,427,14,0,"8"
"2131","BENTLEY","MULSANNE","4PTAS 6.8L 6CIL 530HP TIP TURBO",2017,"AUT","Gasolina",6,530,6.8,"AUTOS DE LUJO",5.8,10.6,7.28,5.46,427,14,0,"8"
"2132","MERCEDES","SL 65","ROADSTER AMG 2PTAS 6.0L 12CIL 630HP AUT BITURBO",2016,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.75,11.36,8.62,6.47,361,50,1,"?"
"2133","MERCEDES","SL 65","AMG CONVERTIBLE 2PTAS 6.0L 12CIL 630HP BITURBO AUT",2018,"AUT","Gasolina",12,630,6,"AUTOS DE LUJO",5.75,11.36,8.62,6.47,361,50,1,"?"
"2134","BENTLEY","CONTINENTAL","GT 2PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO",2011,"TIP","Gasolina",12,552,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2135","BENTLEY","CONTINENTAL","GTC 2PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO",2011,"TIP","Gasolina",12,552,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2136","BENTLEY","CONTINENTAL","FLYING SPUR 4PTS 6.0L 12CIL 552HP TIP DOBLE TURBO QUATTRO",2011,"TIP","Gasolina",12,552,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2137","BENTLEY","CONTINENTAL","GT 2PTS 6.0L 12CIL 600HP TIP DOBLE TURBO",2011,"TIP","Gasolina",12,600,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2138","BENTLEY","CONTINENTAL","FLYING SPUR SPEED 4PTS 6.0L 12CIL 600HP TIP DOBLE TURBO",2011,"TIP","Gasolina",12,600,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2139","BENTLEY","CONTINENTAL","SUPERSPORTS 2PTS 6.0L 12CIL 630HP TIP DOBLE TURBO QUATTRO",2011,"TIP","Gasolina",12,620,6,"AUTOS DE LUJO",5.74,10.22,7.15,5.36,435,5,0,"9"
"2140","MERCEDES","S500 L","4PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",5.71,11.62,8.64,6.48,360,31,1,"?"
"2141","MERCEDES","SLK55 AMG","2PTS 5.5 8CIL 355HP AUT",2011,"G TRONIC","Gasolina",8,355,5.5,"AUTOS DE LUJO",5.65,11.36,8.53,6.39,365,10,1,"9"
"2142","BMW","M3","COUPE 2PTS 4.0L 8CIL 420HP MAN",2011,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.65,10.75,8.4,6.3,370,20,0,"?"
"2143","BMW","M3","SEDAN 4PTS 4.0 8CIL 420HP MAN",2011,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.65,10.75,8.4,6.3,370,20,0,"?"
"2144","BMW","M3","COUPÉ 2PTS 4.0L 8CIL 420HP MAN",2012,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.65,10.75,8.4,6.3,370,20,0,"?"
"2145","AUDI","S5","2PTS 4.2L 8CIL 354HP MAN QUATTRO",2011,"MAN","Gasolina",8,354,4.2,"AUTOS DE LUJO",5.62,10.87,8.4,6.3,370,36,0,"?"
"2146","AUDI","S5","4X4 2PTS 4.2L 8CIL 354HP MAN QUATTRO",2012,"MAN","Gasolina",8,354,4.2,"AUTOS DE LUJO",5.62,10.87,8.4,6.3,370,36,0,"?"
"2147","AUDI","RS5","2PTS 4.2L 8CIL 450HP TIPTRONIC QUATTRO",2011,"TIP","Gasolina",8,450,4.2,"AUTOS DE LUJO",5.59,10.75,8.34,6.26,373,36,0,"?"
"2148","AUDI","S5","2PTS 4.2L 8CIL 354HP TIPTRONIC QUATTRO",2011,"TIP","Gasolina",8,354,4.2,"AUTOS DE LUJO",5.59,10.75,8.34,6.26,373,36,0,"?"
"2149","AUDI","RS5","4X4 2PTS 4.2L 8CIL 450HP S TRONIC QUATTRO",2012,"S TRONIC","Gasolina",8,450,4.2,"AUTOS DE LUJO",5.59,10.75,8.34,6.26,373,36,0,"?"
"2150","AUDI","S5","4X4 2PTS 4.2L 8CIL 354HP TIPTRONIC QUATTRO",2012,"TIP","Gasolina",8,354,4.2,"AUTOS DE LUJO",5.59,10.75,8.34,6.26,373,36,0,"?"
"2151","BMW","M3","CONV 2PTS 4.0L 8CIL 420HP MAN",2011,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.56,10.42,8.25,6.18,377,20,0,"?"
"2152","BMW","M3","CONVERTIBLE 2PTS 4.0L 8CIL 420HP MAN",2012,"MAN","Gasolina",8,420,4,"AUTOS DE LUJO",5.56,10.42,8.25,6.18,377,20,0,"?"
"2153","PORSCHE","PANAMERA","TURBO 4S 5PTS 4.8L 500HP PDK",2011,"PDK","Gasolina",8,500,4.8,"AUTOS DE LUJO",5.56,11.24,8.41,6.31,370,44,0,"?"
"2154","PORSCHE","PANAMERA","4S 4X4 4.8L 8CIL 550HP PDK TURBO",2012,"PDK","Gasolina",8,550,4.8,"AUTOS DE LUJO",5.56,11.24,8.41,6.31,370,44,0,"?"
"2155","MERCEDES","CL500","2PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",5.52,11.76,8.47,6.36,367,31,0,"?"
"2156","MERCEDES","C63","AMG 4PTS 6.2L 8CIL 451HP AUT",2012,"AUT","Gasolina",8,451,6.2,"AUTOS DE LUJO",5.5,11.9,8.48,6.36,367,34,0,"?"
"2157","MERCEDES","C63","AMG COUPE 2PTS 6.2L 8CIL 451HP AUT",2012,"AUT","Gasolina",8,451,6.2,"AUTOS DE LUJO",5.5,11.9,8.48,6.36,367,34,0,"?"
"2158","MERCEDES","C63","AMG 4PTS 6.2L 8CIL 451HP AUT",2013,"AUT","Gasolina",8,451,6.2,"AUTOS DE LUJO",5.5,11.9,8.48,6.36,367,34,0,"?"
"2159","MERCEDES","C63","AMG COUPE 2PTS 6.2L 8CIL 451HP AUT",2013,"AUT","Gasolina",8,451,6.2,"AUTOS DE LUJO",5.5,11.9,8.48,6.36,367,34,0,"?"
"2160","MERCEDES","C63","AMG 4PTS 6.2L 8CIL 500HP AUT TURBO",2014,"AUT","Gasolina",8,500,6.2,"AUTOS DE LUJO",5.49,11.9,8.47,6.36,367,34,0,"?"
"2161","MERCEDES","C63","AMG COUPE 2PTS 6.2L 8CIL 500HP AUT TURBO",2014,"AUT","Gasolina",8,500,6.2,"AUTOS DE LUJO",5.49,11.9,8.47,6.36,367,34,0,"?"
"2162","MERCEDES","SL500","2PTS 5.5L 8CIL 382HP AUT",2011,"G TRONIC","Gasolina",8,382,5.5,"AUTOS DE LUJO",5.49,11.36,8.37,6.28,371,31,0,"?"
"2163","ALFA ROMEO","159","SEDAN 4PTS 3.2L 6CIL 260HP AUT",2012,"AUT","Gasolina",6,260,3.2,"AUTOS DE LUJO",5.49,11.76,8.44,6.33,368,50,0,"?"
