"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"993","SUBARU","XV","2.0i SPORT AWD 5PTS 2.0L 4CIL 148HP MAN",2015,"MAN","Gasolina",4,148,2,"AUTOS DE LUJO",12.46,18.28,14.54,10.91,214,20,6,"7"
"994","SUBARU","XV","2.0i PREMIUM AWD 5PTS 2.0L 4CIL 148HP MAN",2016,"MAN","Gasolina",4,148,2,"AUTOS DE LUJO",12.46,18.28,14.54,10.91,214,20,6,"7"
"995","ALFA ROMEO","4C","COUPE 2PTAS 1.7L 4CIL 237HP AUT TURBO",2016,"AUT","Gasolina",4,237,1.7,"AUTOS DE LUJO",12.45,20.07,15.02,11.26,207,22,7,"7"
"996","ALFA ROMEO","MITO","HATCHBACK 3PTS 1.4L 4CIL 170HP MAN TURBO",2012,"MAN","Gasolina",4,170,1.4,"AUTOS DE LUJO",12.4,20.8,16.55,12.41,188,24,7,"?"
"997","ALFA ROMEO","MITO","HATCHBACK 3PTS 1.4L 4CIL 170HP MAN TURBO",2013,"MAN","Gasolina",4,170,1.4,"AUTOS DE LUJO",12.4,20.8,16.55,12.41,188,24,7,"?"
"998","AUDI","A3","3PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2013,"STRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.37,19.92,14.91,11.18,208,9,7,"9"
"999","AUDI","A3","SPORTBACK 5PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2013,"STRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.37,19.92,14.91,11.18,208,9,7,"9"
"1000","AUDI","A3","CABRIO 2PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2013,"STRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.37,19.92,14.91,11.18,208,9,7,"9"
"1001","AUDI","A3","CABRIO 2PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI",2011,"S TRONIC","Gasolina",4,200,1.8,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1002","AUDI","A3","SPORTBACK 5PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI",2011,"S TRONIC","Gasolina",4,200,1.8,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1003","AUDI","A3","SPORTBACK 5PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI QUATTRO",2011,"S TRONIC","Gasolina",4,200,1.8,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1004","AUDI","A3","3PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2012,"S TRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1005","AUDI","A3","CABRIO 2PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2012,"S TRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1006","AUDI","A3","SPORTBACK 5PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO",2012,"S TRONIC","Gasolina",4,200,2,"AUTOS DE LUJO",12.36,19.15,14.71,11.03,211,11,6,"9"
"1007","BMW","320iA","SEDAN 4PTS 2.0L 4CIL 184HP AUT BITURBO",2016,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.35,20.41,16.41,12.31,189,12,7,"9"
"1008","BMW","328iA","SEDAN 4PTS 2.0L 4CIL 245HP AUT TURBO",2016,"AUT","Gasolina",4,245,2,"AUTOS DE LUJO",12.35,19.23,16.11,12.08,193,32,7,"6"
"1009","AUDI","A4","SEDAN 4PTS 1.8L 4CIL 170HP MULTITRONIC FSI TURBO FRONT",2015,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.3,23,15.56,11.67,200,16,7,"8"
"1010","AUDI","A4","4PTAS 1.8L 4CIL170HP MULTI FSI FRONT TURBO",2017,"MULTIT","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.3,23,15.56,11.67,200,16,7,"8"
"1011","BMW","120i","3PTAS 2.0L 4CIL 184HP TURBO MAN",2017,"MAN","Gasolina",4,184,2,"AUTOS DE LUJO",12.3,20,16.27,12.2,191,29,7,"?"
"1012","AUDI","A4","4PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO",2013,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.22,22.8,15.45,11.58,201,16,7,"8"
"1013","AUDI","A4","4PTS 1.8L 4CIL 170HP STRONIC FRONT FSI TURBO",2013,"STRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.22,22.8,15.45,11.58,201,16,7,"8"
"1014","AUDI","A4","4PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO",2016,"MULTITRONIC","Gasolina",4,170,1.8,"AUTOS DE LUJO",12.2,22.8,15.43,11.57,202,16,7,"8"
"1015","BMW","340iA","M SEDAN 4PTAS 3.0L 6CIL 326HP AUT TURBO",2016,"AUT","Gasolina",6,326,3,"AUTOS DE LUJO",12.2,20.8,14.99,11.24,207,36,7,"6"
"1016","MERCEDES","C 200","CONVERTIBLE 2PTAS 2.0L 4CIL 184HP AUT TURBO",2016,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.2,17.54,15.53,11.65,200,10,7,"9"
"1017","MERCEDES","C 250","CONVERTIBLE 2PTAS 2.0L 4CIL 211HP AUT TURBO",2016,"AUT","Gasolina",4,211,2,"AUTOS DE LUJO",12.2,17.54,15.53,11.65,200,10,7,"9"
"1018","MERCEDES","C 200","CONVERTIBLE 2PTAS 3.0L 4CIL 184HP TURBO AUT",2018,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",12.2,17.54,15.53,11.65,200,10,7,"9"
